product_a_id,product_b_id,score,decision,name_a,name_b,brand_a,brand_b,retailer_a,retailer_b,price_a,price_b,dimension_a,dimension_b,explanation
1387,1405,0.84,no_merge,Corpo Dourado Fruktais Esfoliante Uva 150g | Antioxidante e Regeneração | Pró Vitamina B5 e Argila Branca,Corpo Dourado Fruktais Esfoliante Uva 300g | Antioxidante e Regeneração | Pró Vitamina B5 e Argila Branca,corpo dourado,corpo dourado,amazon_br,amazon_br,1644,2493,150g,300g,brand_match:corpo dourado; title_high:0.98; size_ambiguous; color_match:branca; pack_match:9; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
2255,2895,0.84,no_merge,FRAN BY FRANCINY EHLKE Base Mate Real Filter C-02,FRAN BY FRANCINY EHLKE Base Mate Real Filter M-02,fran by franciny ehlke,fran by franciny ehlke,amazon_br,amazon_br,6200,5890,,,brand_match:fran by franciny ehlke; title_high:0.98; size_ambiguous; pack_match:6; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
2255,3332,0.84,no_merge,FRAN BY FRANCINY EHLKE Base Mate Real Filter C-02,FRAN BY FRANCINY EHLKE Base Mate Real Filter M-01,fran by franciny ehlke,fran by franciny ehlke,amazon_br,amazon_br,6200,6467,,,brand_match:fran by franciny ehlke; title_high:0.96; size_ambiguous; pack_match:6; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
2312,2922,0.84,no_merge,FRAN BY FRANCINY EHLKE Base Mate Real Filter C-03,FRAN BY FRANCINY EHLKE Base Mate Real Filter M-03,fran by franciny ehlke,fran by franciny ehlke,amazon_br,amazon_br,5700,4999,,,brand_match:fran by franciny ehlke; title_high:0.98; size_ambiguous; pack_match:6; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
2895,3332,0.84,no_merge,FRAN BY FRANCINY EHLKE Base Mate Real Filter M-02,FRAN BY FRANCINY EHLKE Base Mate Real Filter M-01,fran by franciny ehlke,fran by franciny ehlke,amazon_br,amazon_br,5890,6467,,,brand_match:fran by franciny ehlke; title_high:0.98; size_ambiguous; pack_match:6; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
1702,1772,0.84,no_merge,Papi Textil Toalha De Banho Papi Soft C/Capuz Bord 90Cm X 75Cm Contem 01 Un,Papi Textil Toalha De Banho Papi Soft C/Capuz Bord 90Cm X 75Cm Contem 01 Un,papi desde 1974,papi desde 1974,amazon_br,amazon_br,4408,4408,,,"brand_match:papi desde 1974; title_high:1.00; model_match:75cm,90c,90cm; size_match:75000ml; shade_match:cinza; category_exact; price_close; penalty:conflicting_global_identifier"
1748,1774,0.84,no_merge,Papi Textil Toalha De Banho Soft Papi Friends C/Capuz Bord. 90Cm X 75Cm Contem 01 Un,Papi Textil Toalha De Banho Soft Papi Friends C/Capuz Bord. 90Cm X 75Cm Contem 01 Un,papi desde 1974,papi desde 1974,amazon_br,amazon_br,6176,6450,,,"brand_match:papi desde 1974; title_high:1.00; model_match:75cm,90c,90cm; size_match:75000ml; color_match:branco; shade_match:branco; category_exact; price_close; penalty:conflicting_global_identifier"
2639,2791,0.84,no_merge,"KIKO MILANO, Radiant Fusion Baked Powder, Pó Compacto, Cor","KIKO MILANO, Radiant Fusion Baked Powder, Pó Compacto, Cor 05 Hazelnut",kiko milano,kiko milano,amazon_br,amazon_br,9990,9990,,,brand_match:kiko milano; title_high:1.00; size_match:10g; pack_match:5; category_exact; price_close; penalty:conflicting_model
4211,4543,0.84,no_merge,Kit Com 10 Pinceis Para Maquiagem - Mt07 Macrilan - Cores Sortidas,Kit Com 8 Pinceis Para Maquiagem - Mt01 Macrilan - Cores Sortidas,macrilan,macrilan,amazon_br,amazon_br,4990,3000,,,brand_match:macrilan; title_high:0.96; size_match:200g; shade_match:cores; pack_match:5; category_exact; penalty:conflicting_global_identifier; penalty:conflicting_model
2034,2094,0.84,no_merge,Playboy Pó Facial Translúcido Photo Microfinish Powder Cor 2,Playboy Pó Facial Translúcido Photo Microfinish Powder Cor 1 Tb,playboy,playboy,amazon_br,amazon_br,2290,1989,,,brand_match:playboy; title_high:0.98; size_ambiguous; pack_match:3; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
2035,2162,0.84,no_merge,Makelovers Esponja Ep10 Gota Chanfrada Para Maquiagem Macrilan - Rosa Claro Macrilan - Sem Latex,"Esponja Ep10 Gota Chanfrada Para Maquiagem Macrilan - Rosa, Macrilan - Sem Latex",makelovers,makelovers,amazon_br,amazon_br,899,999,,,brand_match:makelovers; title_high:1.00; size_match:50g; color_match:rosa; shade_match:rosa; pack_match:2; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
